date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:26	11989/11989	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2005:28:25%20GMT	https://codyhouse.co/app/components/demo/demo-changelog	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/app/components/demo/demo-changelog.html	(from )
01:28:26	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2005:28:26%20GMT	https://codyhouse.co/robots.txt		(from )
01:28:26	645/645	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2013:34:28%20GMT	https://codyhouse.co/codyframe/main/css/reset.css	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/codyframe/main/css/reset.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:27	4592/4592	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2015:51:24%20GMT	https://codyhouse.co/codyframe/main/css/typography.css	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/codyframe/main/css/typography.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:27	549/549	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202023%2012:10:32%20GMT	https://codyhouse.co/codyframe/main/css/icons.css	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/codyframe/main/css/icons.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:27	4595/4595	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2013:11:24%20GMT	https://codyhouse.co/app/components/source-v4/changelog/dist/changelog.css?v=10000000210	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/app/components/source-v4/changelog/dist/changelogf3a9.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:27	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2005:28:27%20GMT	https://codyhouse.co/app/components/demo/changelog.css	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/app/components/demo/changelog.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:27	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2005:28:27%20GMT	https://codyhouse.co/app/components/demo/changelog-ie.css	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/app/components/demo/changelog-ie.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:28	170375/170375	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202023%2015:51:25%20GMT	https://codyhouse.co/codyframe/main/css/util.css?v=1	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/codyframe/main/css/util3860.css	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:28	175321/175321	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2015:51:04%20GMT	https://codyhouse.co/app/assets/js/min/iframe-min.js?v=206	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/app/assets/js/min/iframe-min6b1d.js	(from https://codyhouse.co/app/components/demo/demo-changelog)
01:28:28	5030/5030	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2023%20Jun%202022%2008:04:15%20GMT	https://codyhouse.co/codyhouse-framework/main/assets/js/util.js?v=204	C:/Users/talli/Desktop/Websites/changelog1/codyhouse.co/codyhouse-framework/main/assets/js/utild47c.js	(from https://codyhouse.co/app/components/demo/demo-changelog)
